Date,Sales
01-01-2012,266.0,67.5
01-02-2012,145.9,67.5
01-03-2012,183.1,67.5
01-04-2012,119.3,67.5
01-05-2012,180.3,67.5
01-06-2012,168.5,67.5
01-07-2012,231.8,67.5
01-08-2012,224.5,67.5
01-09-2012,192.8,67.5
01-10-2012,122.9,67.5
01-11-2012,336.5,67.5
01-12-2012,185.9,67.5
01-01-2013,194.3,67.5
01-02-2013,149.5,67.5
01-03-2013,210.1,67.5
01-04-2013,273.3,67.5
01-05-2013,191.4,67.5
01-06-2013,287.0,67.5
01-07-2013,226.0,67.5
01-08-2013,303.6,67.5
01-09-2013,289.9,67.5
01-10-2013,421.6,67.5
01-11-2013,264.5,67.5
01-12-2013,342.3,67.5
01-01-2014,339.7,67555.5
01-02-2014,440.4
01-03-2014,315.9,67.5
01-04-2014,439.3,67.5
01-05-2014,401.3,67.5
01-06-2014,437.4,67.5
01-07-2014,575.5,67.5
01-08-2014,407.6,aaaaaaaaaaaa
01-09-2014,682.0,67.5
01-10-2014,475.3,67.5
01-11-2014,581.3,67.5
01-12-2014,646.9,67.5
01-12-2015
